Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
5575,Bourseigne-Neuve,Ja,GEDINNE,NAMEN
5575,Bourseigne-Vieille,Ja,GEDINNE,NAMEN
7110,Boussoit,Ja,LA LOUVIÈRE,HENEGOUWEN
7300,Boussu,Neen,BOUSSU,HENEGOUWEN
5660,Boussu-En-Fagne,Ja,COUVIN,NAMEN
6440,Boussu-Lez-Walcourt,Ja,FROIDCHAPELLE,HENEGOUWEN
1470,Bousval,Ja,GENAPPE,WAALS-BRABANT
3370,Boutersem,Neen,BOUTERSEM,VLAAMS-BRABANT
5500,Bouvignes-Sur-Meuse,Ja,DINANT,NAMEN
7803,Bouvignies,Ja,ATH,HENEGOUWEN
2288,Bouwel,Ja,GROBBENDONK,ANTWERPEN
8680,Bovekerke,Ja,KOEKELARE,WEST-VLAANDEREN
3870,Bovelingen,Ja,HEERS,LIMBURG
4300,Bovenistier,Ja,WAREMME,LUIK
5081,Bovesse,Ja,LA BRUYÈRE,NAMEN
6671,Bovigny,Ja,GOUVY,LUXEMBURG
4990,Bra,Ja,LIERNEUX,LUIK
7604,Braffe,Ja,PÉRUWELZ,HENEGOUWEN
5590,Braibant,Ja,CINEY,NAMEN
1420,Braine-L'Alleud,Neen,BRAINE-L'ALLEUD,WAALS-BRABANT
1440,Braine-Le-Château,Neen,BRAINE-LE-CHÂTEAU,WAALS-BRABANT
7090,Braine-Le-Comte,Neen,BRAINE-LE-COMTE,HENEGOUWEN
4260,Braives,Neen,BRAIVES,LUIK
9660,Brakel,Neen,BRAKEL,OOST-VLAANDEREN
5310,Branchon,Ja,EGHEZÉE,NAMEN
6800,Bras,Ja,LIBRAMONT-CHEVIGNY,LUXEMBURG
7604,Brasménil,Ja,PÉRUWELZ,HENEGOUWEN
2930,Brasschaat,Neen,BRASSCHAAT,ANTWERPEN
7130,Bray,Ja,BINCHE,HENEGOUWEN
2960,Brecht,Neen,BRECHT,ANTWERPEN
8450,Bredene,Neen,BREDENE,WEST-VLAANDEREN
3960,Bree,Neen,BREE,LIMBURG
2870,Breendonk,Ja,PUURS-SINT-AMANDS,ANTWERPEN
4020,Bressoux,Ja,LIÈGE,LUIK
8900,Brielen,Ja,IEPER,WEST-VLAANDEREN
2520,Broechem,Ja,RANST,ANTWERPEN
3840,Broekom,Ja,BORGLOON,LIMBURG
1931,Brucargo,,Brucargo,
7940,Brugelette,Neen,BRUGELETTE,HENEGOUWEN
8000,Brugge,Neen,BRUGGE,WEST-VLAANDEREN
5660,Brûly,Ja,COUVIN,NAMEN
5660,Brûly-De-Pesche,Ja,COUVIN,NAMEN
1785,Brussegem,Ja,MERCHTEM,VLAAMS-BRABANT
1000,Brussel,Neen,BRUSSEL,BRUSSEL
1099,Brussel X,,Brussel X,
3800,Brustem,Ja,SINT-TRUIDEN,LIMBURG
7641,Bruyelle,Ja,ANTOING,HENEGOUWEN
6222,Brye,Ja,FLEURUS,HENEGOUWEN
3440,Budingen,Ja,ZOUTLEEUW,VLAAMS-BRABANT
9255,Buggenhout,Neen,BUGGENHOUT,OOST-VLAANDEREN
7911,Buissenal,Ja,FRASNES-LEZ-ANVAING,HENEGOUWEN
5580,Buissonville,Ja,ROCHEFORT,NAMEN
1501,Buizingen,Ja,HALLE,VLAAMS-BRABANT
1910,Buken,Ja,KAMPENHOUT,VLAAMS-BRABANT
8630,Bulskamp,Ja,VEURNE,WEST-VLAANDEREN
3380,Bunsbeek,Ja,GLABBEEK,VLAAMS-BRABANT
2070,Burcht,Ja,ZWIJNDRECHT,ANTWERPEN
4210,Burdinne,Neen,BURDINNE,LUIK
6927,Bure,Ja,TELLIN,LUXEMBURG
9420,Burst,Ja,ERPE-MERE,OOST-VLAANDEREN
7602,Bury,Ja,PÉRUWELZ,HENEGOUWEN
4750,Butgenbach,Neen,BUTGENBACH,LUIK
3891,Buvingen,Ja,GINGELOM,LIMBURG
7133,Buvrinnes,Ja,BINCHE,HENEGOUWEN
6743,Buzenol,Ja,ETALLE,LUXEMBURG
6230,Buzet,Ja,PONT-À-CELLES,HENEGOUWEN
4760,Büllingen,Neen,BÜLLINGEN,LUIK
7604,Callenelle,Ja,PÉRUWELZ,HENEGOUWEN
7642,Calonne,Ja,ANTOING,HENEGOUWEN
7940,Cambron-Casteau,Ja,BRUGELETTE,HENEGOUWEN
7870,Cambron-Saint-Vincent,Ja,LENS,HENEGOUWEN
1804,Cargovil,,Cargovil,
6850,Carlsbourg,Ja,PALISEUL,LUXEMBURG
7141,Carnières,Ja,MORLANWELZ,HENEGOUWEN
7061,Casteau,Ja,SOIGNIES,HENEGOUWEN
5650,Castillon,Ja,WALCOURT,NAMEN
4317,Celles,Ja,FAIMES,LUIK
5561,Celles,Ja,HOUYET,NAMEN
7760,Celles,Neen,CELLES,HENEGOUWEN
4632,Cérexhe-Heuseux,Ja,SOUMAGNE,LUIK
5630,Cerfontaine,Neen,CERFONTAINE,NAMEN
1341,Céroux-Mousty,Ja,OTTIGNIES-LOUVAIN-LA-NEUVE,WAALS-BRABANT
4650,Chaineux,Ja,HERVE,LUIK
5550,Chairière,Ja,VRESSE-SUR-SEMOIS,NAMEN
5020,Champion,Ja,NAMUR,NAMEN
6971,Champlon,Ja,TENNEVILLE,LUXEMBURG
6921,Chanly,Ja,WELLIN,LUXEMBURG
6742,Chantemelle,Ja,ETALLE,LUXEMBURG
7903,Chapelle-À-Oie,Ja,LEUZE-EN-HAINAUT,HENEGOUWEN
